TRAPPIST-1 f,Confirmed,0.0021,0.093230,,0.0371,2017,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
TRAPPIST-1 g,Confirmed,0.00422,0.100500,,0.0451,2017,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
TRAPPIST-1 h,Confirmed,0.001041,0.067400,,0.063,2017,Published in a refereed paper,Primary Transit,,H2O,TRAPPIST-1,12.1,0.08,0.117,Отсутствует значение углового расстояния
W0047+68,Confirmed,11.8,,,,2019,Submitted to a professional journal,Imaging,,,,12.16,,,Отсутствуют оба значения
GJ 179 b,Confirmed,,,0.195935,2.41,2010,Published in a refereed paper,Radial Velocity,,,GJ 179,12.3,0.357,0.38,40.12
GJ 179 c,Confirmed,,,,0.032,2019,Published in a refereed paper,Radial Velocity,,,GJ 179,12.3,0.357,0.38,Отсутствует значение углового расстояния
55 Cnc b,Confirmed,0.84,,0.009303,0.11339,1996,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98,39.75
55 Cnc c,Confirmed,,,0.019473,0.23735,2002,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98,39.75
55 Cnc d,Confirmed,,,0.466775,5.446,2002,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98,38.05
55 Cnc e,Confirmed,0.02703,0.173700,0.001264,0.015439,2004,Published in a refereed paper,Primary Transit,,"H2O, HCN, N",55 Cnc,12.34,1.015,0.98,39.84
55 Cnc f,Confirmed,,,0.06329,0.7733,2007,Published in a refereed paper,Radial Velocity,,,55 Cnc,12.34,1.015,0.98,39.85
LHS 1140 b,Confirmed,0.0209,0.128000,,0.0875,2017,Published in a refereed paper,Primary Transit,,,LHS 1140,12.47,0.146,0.186,Отсутствует значение углового расстояния
LHS 1140 c,Confirmed,0.00569,0.114370,,0.02675,2018,Published in a refereed paper,Primary Transit,,,LHS 1140,12.47,0.146,0.186,Отсутствует значение углового расстояния
Wolf 940 b,Confirmed,26,0.920000,,400,2009,Published in a refereed paper,Imaging,2MASS J21464040-0010233 b,,Wolf 940,12.5,0.27,,Отсутствует значение углового расстояния
HD 69830 b,Confirmed,0.1427,,0.00623,0.0785,2006,Published in a refereed paper,Radial Velocity,,,HD 69830,12.6,0.86,0.895,41.1
