8 Umi b,Confirmed,,,93.4,0.49,0.06,,,2015,10/1/2015,91,2454108.5,,,,,,46.1,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,8 Umi,224.2,74.90083335,6.83,,,,,159.1,-0.03,1.8,9.9,K0,1.7,4847.4,,,
81 Cet b,Confirmed,,,952.7,2.5,0.206,,0.02572,2008,8/27/2014,175,2452486,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,-0.06,2.4,11,G5III,,,,,
91 Aqr b,Confirmed,,,181.4,0.7,0.027,,0.006593,2003,8/21/2015,177.3,2453472.1,,,,,,91,,,,,,Published in a refereed paper,Radial Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665,,,
AB Aur b,Unconfirmed,20,,,102,,,0.708333,2008,2/11/2011,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,AB Aur,73.9416667,30.5511111,7.06,,,,,144,,2.4,,A0V,2,,,,
AB Dor C b,Confirmed,13,,,0.58,,,,2019,11/14/2019,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.43333335,-65.44833335,,,,,,15.8,,0.072,,M8,,,,,
AB Pic b,Confirmed,13.5,,,275,,,5.813953,2005,12/5/2010,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,-0.64,,,K2 V,0.03,4875,,,
AD 3116 b,Confirmed,54.2,1.02,1.982796,,0.146,88.4,,2017,4/3/2019,5,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,AD 3116,130.6643334,19.41441632,,,14.348,13.769,,186.54,,0.276,0.29,M3.9,,3200,,,"EPIC 211946007, 2MASS J08423943+1924520"
AD Leo b,Controversial,,,2.2246,0.025,0.03,,,2019,2/26/2020,,,,,,,,23,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,AD Leo,154.9,19.87000002,9.5,,,,,4.966,,,,M4V,,,,,GJ 388
AE Fornacis (AB) b,Candidate,,,2524.6,3.78,0.601,,,2012,12/21/2018,,,,,,,,,,,,,,Published in a refereed paper,Default,,,"AE For (AB) b, AE For b, HIP 14568 b, 2MASS J03080663-2445347 b",,AE Fornacis (AB),47.02776143,-24.7596484,10.2,8.55,7.52,6.85,6.66,32.2262,,0.5,0.6,K7V+K7V,,4100,,,"AE For, AE For (AB), HIP 14568, 2MASS J03080663-2445347"
AS 205 A b,Confirmed,,,24.84,0.162,0.35,,,2017,6/8/2017,94.14,,,,,,,1529,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,AS 205A,242.8791667,-18.6402778,12.4,,,,,140,0,0.9,3.7,K5,,4300,,,V866 Sco
Aldebaran b,Controversial,,,614.1,1.46,0.24,,0.1,1998,3/25/2019,336.2,2452688.1,,,,,,125.42,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,,alf Tau
Aledebaran c,Controversial,,,772.83,,0.09,,,2019,3/25/2019,24.4,2452934,,,,,,72.24,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,,alf Tau
Anon-1 b,Unconfirmed,0.3,,1.3381,0.024,0,,,,3/16/2006,,,,,,,,,,,,,,Published in a refereed paper,Default,,,,,Anon-1,0,20,,,,,,,,,,G0,,,,,
BD+03 2562 b,Confirmed,,,481.9,1.3,0.2,,,2017,6/30/2017,218,2453726,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+03 2562,177.5648029,2.760131134,9.58,,,,,2618,-0.71,1.14,32.35,,5.25,4095,,,
BD+14 4559 b,Confirmed,,,268.94,0.777,0.29,,0.01554,2009,2/23/2016,87.64,2453294.21,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+14 4559,318.4,14.6894444,9.63,,,,,50,0.1,0.86,,K2V,,5008,,,
BD+15 2375 b,Confirmed,,,153.22,0.576,0.001,,,2016,3/21/2016,55,2457680,,,,,,38.3,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,BD+15 2375,176.4833334,14.61638891,10.3,,,,,774,-0.22,1.08,8.95,,7.4,4649,,,
BD+15 2940 b,Confirmed,,,137.48,0.539,0.26,,,2013,4/30/2013,302,2453464,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+15 2940,240.0958,15.5469,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796,,,
BD+20 1790 b,Retracted,,,7.78287,0.066,0.22,,0.002598,2009,5/17/2019,200.4,3085.8,,,,,,905,,,,,,Announced on a professional conference,Default,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,0.3,0.63,0.71,K5V,0.057,4410,,Yes,
BD+20 2457 b,Confirmed,,,379.63,1.45,0.15,,0.00725,2009,2/23/2016,207.64,2454677.53,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127,,,
BD+20 2457 c,Confirmed,,,621.99,2.01,0.18,,0.01005,2009,2/23/2016,126.02,2453867.45,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200,-1,2.8,,K2II,,4127,,,
BD+20 274 b,Unconfirmed,,,,1.8,,,,2010,11/16/2010,,,,,,,,,,,,,,Announced on a professional conference,Default,,,,,BD+20 274,25.9208333,21.005,9.36,,,,,,-0.46,0.8,17.3,K5,,4296,,,
